locID,Female,Male
101,50.3430619298,49.6569380702
102,50.7026120967,49.2973879033
103,49.8907721864,50.1092278136
104,51.0819917634,48.9180082366
105,51.0399797215,48.9600202785
199,51.051169163,48.948830837
210,51.119879978,48.880120022
212,53.0327031399,46.9672968601
213,52.6516070555,47.3483929445
214,52.6992177672,47.3007822328
215,53.8378131264,46.1621868736
244,54.2658904716,45.7341095284
260,52.521646555,47.478353445
299,52.0018400941,47.9981599059
306,49.6952745982,50.3047254018
307,50.59457371,49.40542629
308,49.2499493209,50.7500506791
309,51.451505682,48.548494318
345,51.5273644456,48.4726355544
416,51.00575695,48.99424305
418,50.6695855978,49.3304144022
419,53.3887139756,46.6112860244
420,50.3434172889,49.6565827111
499,51.542550416,48.457449584
521,53.0562614535,46.9437385465
522,52.2560753338,47.7439246662
523,53.4747109578,46.5252890422
527,53.8790692918,46.1209307082
528,52.9048978589,47.0951021411
543,53.5203361803,46.4796638197
554,55.0589423653,44.9410576347
555,52.2422219955,47.7577780045
556,53.6819836356,46.3180163644
559,52.3724065193,47.6275934807
599,51.1263926125,48.8736073875
637,47.2951351437,52.7048648563
638,50.9434566791,49.0565433209
639,51.5500792342,48.4499207658
640,50.1018774769,49.8981225231
742,50.3146808891,49.6853191109
748,47.8468200172,52.1531799828
797,48.7890875833,51.2109124167
798,49.8258443903,50.1741556097
799,50.2485377315,49.7514622685
830,50.6893725526,49.3106274474
831,49.8331586564,50.1668413436
832,52.4223698119,47.5776301881
933,54.0889898188,45.9110101812
934,54.3148258854,45.6851741146
935,53.2096884409,46.7903115591
936,49.4847910312,50.5152089688
947,53.7862205957,46.2137794043
