locID,Afrikaans,English,Not applicable,Other,Sepedi,Sesotho,Setswana,SiSwati,Sign language,Tshivenda,Xitsonga,isiNdebele,isiXhosa,isiZulu
101,311829,14828,19099,3043,322,4668,2358,206,1146,327,448,683,31978,833
102,568100,32815,27744,8087,678,14309,2979,295,3154,449,494,969,126087,1331
103,176037,17123,7781,3574,229,5377,1002,88,675,129,211,462,44857,629
104,397462,42266,12975,5687,654,3412,2675,296,1856,527,739,1014,102740,1960
105,60074,1789,2101,301,93,322,399,29,179,60,18,117,5346,182
199,1307140,1040229,77430,106425,6168,35979,15120,2294,15162,2924,7242,11993,1092224,19699
210,196645,28131,14688,3824,730,2243,1560,188,1453,345,322,874,197926,1655
212,18230,19647,19508,2391,1741,2069,1167,345,5164,401,250,1691,817395,2637
213,47872,20579,10442,4009,1692,4068,1254,115,5512,304,309,1800,695348,2157
214,20329,5696,3477,1319,592,69889,471,77,2124,141,153,603,244021,875
215,7374,36321,16397,3854,3366,3590,1864,445,10388,874,440,2853,1270514,6664
244,6716,18090,5017,4595,2275,69811,1360,187,7189,358,231,2043,673519,9954
260,52801,81050,18680,5232,1607,2466,1380,222,5289,327,558,1811,580624,3154
299,333442,152988,15519,11669,2296,4827,3553,442,5117,913,829,3180,612805,4537
306,104772,1365,4268,526,100,350,1906,51,343,69,34,140,1725,193
307,140641,2991,3198,941,286,1483,2922,104,745,171,108,298,32017,446
308,178452,4139,3222,1665,412,2360,36978,161,806,285,154,658,6380,1111
309,145762,23512,4134,7231,1001,8511,163792,223,1291,395,489,2727,18468,4550
345,36598,5835,3356,2023,631,1431,167489,110,748,163,415,2200,1598,2201
416,44942,2282,3865,691,260,64536,5000,54,1083,77,130,245,22518,575
418,69194,18761,17767,5109,1425,379173,36082,933,6872,776,4976,3270,74380,8908
419,43226,14646,10458,2579,761,570076,2380,323,10026,224,429,1595,4106,75410
420,64990,11759,18022,3367,2986,316408,4797,570,6695,842,1427,1640,28036,26497
499,118137,31334,19701,4189,1963,387689,91969,366,8234,672,1077,3259,72105,6737
521,14616,58801,10779,2198,1558,1511,3441,229,2704,319,214,7191,30440,588483
522,15729,152981,19210,7764,1904,17344,4521,482,5308,342,470,10051,18906,762751
523,7919,31332,6247,2339,1527,3677,3790,336,2973,236,252,7562,1335,599323
527,2936,10804,4266,1565,1309,539,3556,1103,3153,256,578,7407,638,587736
528,20290,45573,12543,3483,1989,1238,5771,709,3427,452,730,11801,1967,797545
543,6079,14646,3175,4098,1084,4768,1972,110,2557,124,145,3969,131247,287445
554,5159,15700,6030,1412,927,11580,2303,170,1970,124,147,5096,822,459398
555,15269,25697,4932,2826,876,4852,2350,675,2974,174,309,4518,1441,432947
556,9979,11671,8796,2519,1395,1967,4011,1260,2681,285,403,8538,894,749176
559,5210,58227,2248,4465,1316,1062,3156,624,4340,261,1916,7145,20005,496834
599,58688,912173,35285,44850,6671,30878,17358,2651,16486,1737,3773,38380,133136,2140294
637,106561,57187,29219,39869,75539,67458,818050,9632,6728,14329,119090,26481,82701,54661
638,41808,27017,9528,9952,3277,20780,681327,678,3035,697,1631,7883,22336,12750
639,35213,8696,3354,4287,1211,8118,384956,155,1766,214,481,4310,7092,3964
640,126285,27141,10848,6765,3972,104797,306897,1627,3396,1015,5944,5314,78472,13459
742,136990,49371,12736,15310,14440,422198,20783,3863,8900,4358,12061,6639,64607,144229
748,135685,53321,19753,16749,24622,86549,218995,7334,4071,11575,41846,8541,119507,72447
797,375611,377935,27258,81878,359245,315806,90307,44967,12463,48227,208865,75150,252757,908002
798,318063,878230,65225,168566,317277,420117,335713,35926,18793,141435,287625,126587,298523,1022747
799,536590,244607,71430,89073,567312,150420,428801,44462,8517,66528,246113,163576,61447,242611
830,94232,35079,10975,9016,10400,43263,8066,134498,3379,2456,10713,31544,21409,628164
831,128916,46855,12499,16560,190306,49523,59348,60860,3667,5680,41327,367943,24754,299889
832,66298,42712,17739,14063,171686,45773,4299,911230,1886,4004,364706,4191,2830,37199
933,22317,14319,7794,17145,497912,31096,2690,2483,1377,5505,480621,2634,1278,5336
934,16818,13615,14033,27248,20498,13180,1269,2588,1279,860116,317850,3721,738,1770
935,36901,25177,18298,18489,1055421,8170,6990,1418,2172,17477,32379,24733,2167,11671
936,51039,15323,20596,14812,371471,19569,75809,1469,1461,6718,54416,26243,12147,8262
947,13111,10258,5472,8629,881163,8283,20263,17388,1940,2994,21060,46951,3945,35384
