locID,Black African,Coloured,Indian or Asian,Other,White
101,64110,260850,2181,3098,61527
102,186472,489189,3153,7184,101491
103,66151,139825,816,2692,48692
104,141830,311178,2526,8418,110314
105,9045,54076,300,394,7197
199,1444939,1585286,51786,72184,585831
210,240010,157120,1518,2970,48967
212,868017,13133,1126,1411,8949
213,742545,32767,1787,2328,16034
214,328002,12177,632,680,8277
215,1351789,6434,2654,1425,2641
244,794382,3307,1132,624,1898
260,642753,45442,6241,2506,58258
299,692731,271469,12838,9650,165426
306,7904,96360,612,853,10113
307,58614,110257,1046,1371,15064
308,69512,142916,1707,3278,19371
309,250238,91549,3602,11144,25552
345,190718,20818,859,1256,11146
416,114806,19239,553,517,11143
418,557950,11864,2243,1361,54208
419,690340,6188,2881,1312,35517
420,420054,9215,1516,1383,55867
499,622383,37337,3204,2217,82291
521,654773,6123,24711,1154,35723
522,862543,20538,68029,2718,63935
523,636394,3923,16023,1070,11437
527,618130,1153,1390,984,4189
528,856997,5025,14632,1489,29375
543,446408,7546,1506,603,5356
554,493456,2789,6512,691,7390
555,465142,3449,13167,1052,17030
556,787879,1701,1775,932,11288
559,550758,3222,35911,2205,14713
599,2540441,85908,573334,14272,228406
637,1377821,10931,8576,4904,105274
638,791251,13809,4968,1721,30950
639,423980,18346,2003,1358,18127
640,559011,28322,5105,2461,101034
742,748657,11070,9140,4236,143380
748,650132,20550,9433,3838,137041
797,2502769,85910,68058,19294,502439
798,3389278,247276,216198,37545,544530
799,2202847,58788,53744,19614,586495
830,923976,10767,11002,3171,94279
831,1150240,14871,9549,3813,129656
832,1588002,10974,7366,2613,79659
933,1059732,1781,2730,1352,26912
934,1271709,1833,5267,1314,14599
935,1211874,6271,5234,2613,35470
936,619889,3298,2929,1858,51362
947,1061550,1232,1721,1322,11015
